subjid,group,food,taste_rating,health_rating
sub-FCT005,HC,raisin bran w milk.jpg,4.0,4.0
sub-FCT005,HC,seaweed.jpg,2.0,5.0
sub-FCT005,HC,green beans.jpg,3.0,5.0
sub-FCT005,HC,sushi w_condiments.jpg,5.0,4.0
sub-FCT005,HC,baguette oil.jpg,5.0,4.0
sub-FCT005,HC,grilled cheese.jpg,5.0,2.0
sub-FCT005,HC,eggs.jpg,4.0,5.0
sub-FCT005,HC,Hershey Kisses.jpg,5.0,1.0
sub-FCT005,HC,apple slices.jpg,5.0,5.0
sub-FCT005,HC,rigatoni.jpg,2.0,3.0
sub-FCT005,HC,hotdog w must.jpg,5.0,2.0
sub-FCT005,HC,grilled chicken strips.jpg,4.0,5.0
sub-FCT005,HC,trail mix.jpg,5.0,4.0
sub-FCT005,HC,mini muffins.jpg,3.0,2.0
sub-FCT005,HC,Pretzels.jpg,3.0,3.0
sub-FCT005,HC,fried eggs.jpg,5.0,3.0
sub-FCT005,HC,granola w milk.jpg,4.0,4.0
sub-FCT005,HC,chicken nuggets2.jpg,1.0,2.0
sub-FCT005,HC,broccoli cauliflower.jpg,4.0,5.0
sub-FCT005,HC,soy chips.jpg,2.0,5.0
sub-FCT005,HC,pickles.jpg,5.0,3.0
sub-FCT005,HC,lollipops.jpg,3.0,1.0
sub-FCT005,HC,froot loops w milk.jpg,5.0,4.0
sub-FCT005,HC,cucumber slices.jpg,4.0,5.0
sub-FCT005,HC,banana.jpg,5.0,5.0
sub-FCT005,HC,bagel and cc.jpg,5.0,2.0
sub-FCT005,HC,PB.jpg,4.0,2.0
sub-FCT005,HC,peaches.jpg,5.0,5.0
sub-FCT005,HC,ice cream sundae 002.jpg,5.0,1.0
sub-FCT005,HC,Skim milk.jpg,3.0,5.0
sub-FCT005,HC,Grapes.jpg,4.0,5.0
sub-FCT005,HC,cupcakes am.jpg,3.0,1.0
sub-FCT005,HC,soup with spoon.jpg,4.0,3.0
sub-FCT005,HC,salad w chicken.jpg,4.0,3.0
sub-FCT005,HC,mac & cheese.jpg,2.0,2.0
sub-FCT005,HC,saltines.jpg,3.0,4.0
sub-FCT005,HC,doughnuts.jpg,4.0,1.0
sub-FCT005,HC,Whole milk.jpg,5.0,3.0
sub-FCT005,HC,mushrooms.jpg,4.0,5.0
sub-FCT005,HC,pizza.jpg,5.0,2.0
sub-FCT005,HC,steak.jpg,5.0,2.0
sub-FCT005,HC,yellow popcorn.jpg,4.0,2.0
sub-FCT005,HC,cherry tomato.jpg,4.0,5.0
sub-FCT005,HC,mashed potato.jpg,5.0,2.0
sub-FCT005,HC,raisins.jpg,4.0,4.0
sub-FCT005,HC,turkey sandwich.jpg,5.0,4.0
sub-FCT005,HC,strawberries.jpg,4.0,5.0
sub-FCT005,HC,french fries.jpg,5.0,2.0
sub-FCT005,HC,rice cakes.jpg,1.0,5.0
sub-FCT005,HC,baked potato.jpg,3.0,4.0
sub-FCT005,HC,cherries.jpg,5.0,5.0
sub-FCT005,HC,american cheese.jpg,4.0,3.0
sub-FCT005,HC,tacos.jpg,5.0,4.0
sub-FCT005,HC,ritz.jpg,5.0,3.0
sub-FCT005,HC,cookies.jpg,5.0,1.0
sub-FCT005,HC,sour patch.jpg,4.0,1.0
sub-FCT005,HC,avacado.jpg,5.0,4.0
sub-FCT005,HC,brownie.jpg,3.0,1.0
sub-FCT006,HC,orange slices.jpg,4.0,5.0
sub-FCT006,HC,mushrooms.jpg,,5.0
