subjid,group,ref_food,alt_food,choice_rating
sub-FCT004,HC,mini muffins.jpg,raisins.jpg,1
sub-FCT004,HC,mini muffins.jpg,rigatoni.jpg,5
sub-FCT004,HC,mini muffins.jpg,eggs.jpg,5
sub-FCT004,HC,mini muffins.jpg,green beans.jpg,5
sub-FCT004,HC,mini muffins.jpg,hotdog w must.jpg,1
sub-FCT004,HC,mini muffins.jpg,saltines.jpg,5
sub-FCT004,HC,mini muffins.jpg,granola w milk.jpg,1
sub-FCT004,HC,mini muffins.jpg,mac & cheese.jpg,5
sub-FCT004,HC,mini muffins.jpg,lollipops.jpg,5
sub-FCT004,HC,mini muffins.jpg,cucumber slices.jpg,5
sub-FCT004,HC,mini muffins.jpg,Pretzels.jpg,5
sub-FCT004,HC,mini muffins.jpg,bagel and cc.jpg,5
sub-FCT004,HC,mini muffins.jpg,cherries.jpg,5
sub-FCT004,HC,mini muffins.jpg,burger.jpg,1
sub-FCT004,HC,mini muffins.jpg,baguette oil.jpg,5
sub-FCT004,HC,mini muffins.jpg,string cheese.jpg,5
sub-FCT004,HC,mini muffins.jpg,ritz.jpg,5
sub-FCT004,HC,mini muffins.jpg,yellow popcorn.jpg,5
sub-FCT004,HC,mini muffins.jpg,froot loops w milk.jpg,5
sub-FCT004,HC,mini muffins.jpg,cupcakes am.jpg,5
sub-FCT004,HC,mini muffins.jpg,broccoli cauliflower.jpg,5
sub-FCT004,HC,mini muffins.jpg,ice cream sundae 002.jpg,5
sub-FCT004,HC,mini muffins.jpg,seaweed.jpg,5
sub-FCT004,HC,mini muffins.jpg,Skim milk.jpg,5
sub-FCT004,HC,mini muffins.jpg,avacado.jpg,5
sub-FCT004,HC,mini muffins.jpg,pickles.jpg,5
sub-FCT004,HC,mini muffins.jpg,corn cob.jpg,5
sub-FCT004,HC,mini muffins.jpg,salad w chicken.jpg,5
sub-FCT004,HC,mini muffins.jpg,strawberries.jpg,5
sub-FCT004,HC,mini muffins.jpg,soy chips.jpg,5
sub-FCT004,HC,mini muffins.jpg,kiwi.jpg,5
sub-FCT004,HC,mini muffins.jpg,m_and_m.jpg,5
sub-FCT004,HC,mini muffins.jpg,brownie.jpg,5
sub-FCT004,HC,mini muffins.jpg,steak.jpg,1
sub-FCT004,HC,mini muffins.jpg,1%milk.jpg,5
sub-FCT004,HC,mini muffins.jpg,yogurt pretzels.jpg,5
sub-FCT005,HC,string cheese.jpg,strawberries.jpg,5
sub-FCT005,HC,string cheese.jpg,soup with spoon.jpg,4
sub-FCT005,HC,string cheese.jpg,Hershey Kisses.jpg,5
sub-FCT005,HC,string cheese.jpg,Pretzels.jpg,2
sub-FCT005,HC,string cheese.jpg,american cheese.jpg,3
sub-FCT005,HC,string cheese.jpg,green beans.jpg,4
sub-FCT005,HC,string cheese.jpg,raisin bran w milk.jpg,2
sub-FCT005,HC,string cheese.jpg,Grapes.jpg,4
sub-FCT005,HC,string cheese.jpg,raisins.jpg,4
sub-FCT005,HC,string cheese.jpg,rigatoni.jpg,3
sub-FCT005,HC,string cheese.jpg,fried eggs.jpg,5
sub-FCT005,HC,string cheese.jpg,salad w chicken.jpg,5
sub-FCT005,HC,string cheese.jpg,grilled chicken strips.jpg,5
sub-FCT005,HC,string cheese.jpg,grilled cheese.jpg,5
sub-FCT005,HC,string cheese.jpg,Tribe humus pita.jpg,5
sub-FCT005,HC,string cheese.jpg,air popcorn.jpg,2
sub-FCT005,HC,string cheese.jpg,baked potato.jpg,5
sub-FCT005,HC,string cheese.jpg,banana.jpg,4
sub-FCT005,HC,string cheese.jpg,yogurt no spoon.jpg,5
sub-FCT005,HC,string cheese.jpg,avacado.jpg,5
sub-FCT005,HC,string cheese.jpg,mashed potato.jpg,5
sub-FCT005,HC,string cheese.jpg,celery and carrot sticks.jpg,4
sub-FCT005,HC,string cheese.jpg,sushi w_condiments.jpg,5
sub-FCT005,HC,string cheese.jpg,kiwi.jpg,5
sub-FCT005,HC,string cheese.jpg,trail mix.jpg,4
sub-FCT005,HC,string cheese.jpg,eggs.jpg,4
sub-FCT005,HC,string cheese.jpg,ice cream sundae 002.jpg,5
sub-FCT005,HC,string cheese.jpg,PB.jpg,5
sub-FCT005,HC,string cheese.jpg,rice cakes.jpg,1
sub-FCT005,HC,string cheese.jpg,bagel plain.jpg,4
sub-FCT005,HC,string cheese.jpg,yogurt pretzels.jpg,2
sub-FCT005,HC,string cheese.jpg,pizza.jpg,5
sub-FCT005,HC,string cheese.jpg,mini muffins.jpg,5
sub-FCT005,HC,string cheese.jpg,peaches.jpg,5
sub-FCT005,HC,string cheese.jpg,hotdog w must.jpg,5
sub-FCT005,HC,string cheese.jpg,doughnuts.jpg,2
sub-FCT005,HC,string cheese.jpg,burger.jpg,5
sub-FCT005,HC,string cheese.jpg,cupcakes am.jpg,2
sub-FCT005,HC,string cheese.jpg,tacos.jpg,4
sub-FCT005,HC,string cheese.jpg,1%milk.jpg,4
sub-FCT005,HC,string cheese.jpg,baby cheese.jpg,5
sub-FCT005,HC,string cheese.jpg,granola w milk.jpg,4
sub-FCT005,HC,string cheese.jpg,bagel and cc.jpg,5
sub-FCT005,HC,string cheese.jpg,lollipops.jpg,2
sub-FCT005,HC,string cheese.jpg,french fries.jpg,5
